Item_ID,Item_Name,Category,Quantity,Reorder_Level,Vendor_ID
ITM1000,Already,Grocery,254,39,VND107
ITM1001,Son,Grocery,438,21,VND102
ITM1002,Total,Grocery,61,95,VND106
ITM1003,Lay,Grocery,179,98,VND110
ITM1004,Now,Clothing,162,71,VND101
ITM1005,Believe,Grocery,415,28,VND110
ITM1006,Should,Clothing,373,33,VND108
ITM1007,Themselves,Pharma,333,37,VND109
ITM1008,Hotel,Pharma,226,55,VND101
ITM1009,Wish,Clothing,455,90,VND106
ITM1010,Hard,Pharma,247,25,VND101
ITM1011,Citizen,Clothing,212,87,VND103
ITM1012,Appear,Electronics,345,73,VND107
ITM1013,Fine,Pharma,384,94,VND100
ITM1014,Modern,Electronics,344,23,VND102
ITM1015,Rather,Electronics,400,99,VND107
ITM1016,Majority,Grocery,36,64,VND106
ITM1017,Ever,Electronics,115,97,VND103
ITM1018,Center,Grocery,451,79,VND102
ITM1019,Artist,Pharma,350,96,VND109
ITM1020,Discover,Pharma,247,80,VND105
ITM1021,Money,Pharma,279,94,VND100
ITM1022,Sign,Grocery,337,38,VND109
ITM1023,Water,Clothing,395,58,VND102
ITM1024,Growth,Pharma,63,84,VND102
ITM1025,Finish,Pharma,97,43,VND103
ITM1026,Nothing,Grocery,483,58,VND102
ITM1027,Happen,Electronics,154,46,VND108
ITM1028,Discussion,Electronics,291,74,VND107
ITM1029,Appear,Pharma,360,90,VND106
ITM1030,Wonder,Grocery,451,53,VND110
ITM1031,Spring,Clothing,360,61,VND106
ITM1032,Benefit,Pharma,221,55,VND104
ITM1033,Provide,Electronics,244,46,VND101
ITM1034,Wish,Electronics,449,26,VND108
ITM1035,Them,Pharma,267,82,VND102
ITM1036,Certain,Pharma,404,31,VND101
ITM1037,Treat,Grocery,392,24,VND100
ITM1038,Seat,Pharma,61,38,VND104
ITM1039,System,Electronics,22,36,VND103
ITM1040,Reality,Electronics,251,26,VND108
ITM1041,Leg,Pharma,467,35,VND105
ITM1042,Avoid,Pharma,366,23,VND104
ITM1043,Very,Pharma,119,94,VND107
ITM1044,Road,Pharma,55,39,VND107
ITM1045,Green,Pharma,245,85,VND103
ITM1046,Finish,Clothing,79,59,VND103
ITM1047,Somebody,Grocery,396,96,VND106
ITM1048,Six,Pharma,403,25,VND110
ITM1049,Draw,Grocery,287,29,VND108
ITM1050,Perform,Pharma,292,48,VND102
ITM1051,Off,Pharma,212,67,VND106
ITM1052,Audience,Clothing,170,98,VND102
ITM1053,Example,Electronics,255,24,VND104
ITM1054,Simple,Pharma,441,87,VND103
ITM1055,Stage,Clothing,384,65,VND103
ITM1056,Quality,Electronics,407,26,VND101
ITM1057,Forward,Pharma,445,54,VND100
ITM1058,Alone,Pharma,371,96,VND108
ITM1059,Than,Electronics,24,73,VND103
ITM1060,Social,Pharma,380,77,VND107
ITM1061,Fly,Electronics,369,22,VND109
ITM1062,Chair,Pharma,463,72,VND101
ITM1063,Fact,Pharma,410,42,VND106
ITM1064,Item,Grocery,404,55,VND105
ITM1065,Value,Pharma,363,62,VND103
ITM1066,International,Grocery,359,78,VND102
ITM1067,Practice,Clothing,95,51,VND102
ITM1068,Truth,Electronics,30,72,VND107
ITM1069,Eight,Pharma,326,49,VND104
ITM1070,Physical,Grocery,141,25,VND104
ITM1071,Any,Electronics,138,65,VND107
ITM1072,Center,Electronics,185,86,VND109
ITM1073,Minute,Grocery,246,94,VND102
ITM1074,And,Pharma,363,49,VND110
ITM1075,Left,Electronics,490,43,VND103
ITM1076,Raise,Grocery,251,99,VND103
ITM1077,You,Electronics,429,31,VND104
ITM1078,Area,Pharma,223,33,VND101
ITM1079,Should,Electronics,447,74,VND101
ITM1080,Will,Grocery,62,35,VND106
ITM1081,Rule,Grocery,364,20,VND109
ITM1082,Mr,Clothing,180,68,VND105
ITM1083,Effect,Grocery,197,26,VND104
ITM1084,Such,Clothing,428,52,VND102
ITM1085,Soldier,Grocery,351,73,VND106
ITM1086,Agreement,Clothing,40,98,VND108
ITM1087,Interest,Electronics,281,29,VND100
ITM1088,South,Electronics,394,51,VND102
ITM1089,Prove,Clothing,234,55,VND102
ITM1090,Whom,Pharma,241,43,VND108
ITM1091,Central,Clothing,300,36,VND107
ITM1092,Figure,Clothing,107,62,VND107
ITM1093,Common,Electronics,496,52,VND104
ITM1094,Season,Pharma,401,23,VND101
ITM1095,Try,Clothing,365,44,VND108
ITM1096,Physical,Clothing,397,41,VND109
ITM1097,Service,Grocery,75,81,VND105
ITM1098,Relate,Pharma,65,67,VND100
ITM1099,Traditional,Pharma,432,69,VND107
