Shipment_ID,Date,Warehouse,Destination,Status
SHP4000,2025-03-28,Port Linda,Kentview,In Transit
SHP4001,2024-12-10,Port Matthewborough,New Linda,In Transit
SHP4002,2025-03-31,Pagetown,Karenborough,Delayed
SHP4003,2024-11-27,Smithfort,East Gregory,Delayed
SHP4004,2025-01-21,Wadefurt,Reynoldstown,Delivered
SHP4005,2025-02-13,Lake Justin,Zamorafort,Delivered
SHP4006,2025-03-22,New Donald,Lake Jeanneton,Delivered
SHP4007,2025-04-05,Riveraburgh,Carrollview,Delayed
SHP4008,2024-12-02,East Danielleshire,Matthewbury,Delayed
SHP4009,2025-01-02,New Debra,New Michael,Delivered
SHP4010,2025-04-27,Brianhaven,East Barryview,Delayed
SHP4011,2024-11-29,Catherinehaven,Kimberlyville,Delivered
SHP4012,2025-02-12,Port Pennytown,South Daniel,Delivered
SHP4013,2025-02-15,Bradymouth,Richardburgh,Delivered
SHP4014,2024-12-12,West Stephaniestad,Richardton,Delivered
SHP4015,2025-03-11,North Anne,Leslieview,In Transit
SHP4016,2024-11-27,Port Beth,West Sara,In Transit
SHP4017,2025-04-16,Huntmouth,Joechester,Delivered
SHP4018,2024-11-17,Karenport,Robinsonberg,In Transit
SHP4019,2024-11-22,Mooreport,North Andrewview,Delivered
SHP4020,2024-11-26,Mirandatown,Port Suzanne,Delayed
SHP4021,2024-11-21,West Craigborough,East Paula,Delivered
SHP4022,2025-03-27,Herringmouth,Boyerfurt,Delivered
SHP4023,2025-04-29,Lake Adamtown,Williamsonbury,Delivered
SHP4024,2025-01-01,Tracyland,East Christopherbury,In Transit
SHP4025,2025-01-03,New Angela,Stephaniechester,Delayed
SHP4026,2024-11-15,Charlesshire,Maureenborough,Delayed
SHP4027,2024-11-17,West Josephside,Kellyview,In Transit
SHP4028,2025-03-29,West Bryanmouth,Lake Jeffreyland,In Transit
SHP4029,2025-05-12,Mitchellshire,Lake Christopherfort,Delayed
SHP4030,2024-12-01,South Douglas,Bridgesstad,Delivered
SHP4031,2024-12-23,Millershire,New Chelseaville,Delayed
SHP4032,2025-03-15,Moorehaven,Lake Michael,Delivered
SHP4033,2024-12-27,Nguyenmouth,Lake Melissaview,In Transit
SHP4034,2025-02-04,Lake Christopher,Michaelburgh,In Transit
SHP4035,2025-05-09,New Nancy,North David,Delayed
SHP4036,2025-02-07,Silvaberg,South Michelleberg,Delayed
SHP4037,2025-01-07,Johnshire,Keithhaven,In Transit
SHP4038,2025-03-29,Lake Julie,Jimmychester,In Transit
SHP4039,2025-02-16,Mcculloughshire,Harrishaven,In Transit
SHP4040,2024-11-26,New Joshualand,Yoderton,Delivered
SHP4041,2024-11-26,Barrybury,Leeville,In Transit
SHP4042,2025-03-08,Johnberg,West Kimberly,Delayed
SHP4043,2025-04-24,New Juan,Jamesfurt,In Transit
SHP4044,2025-04-29,Camacholand,Gardnerburgh,Delivered
SHP4045,2025-01-18,Danielmouth,Jacobschester,Delivered
SHP4046,2024-11-17,Masonstad,Lake Larry,In Transit
SHP4047,2024-11-13,New Jeremiah,Jessicamouth,In Transit
SHP4048,2024-12-05,Christopherhaven,East Markhaven,In Transit
SHP4049,2025-04-01,Derekhaven,Jacobton,Delivered
SHP4050,2025-02-03,Danielchester,New Christina,In Transit
SHP4051,2025-05-04,New Steven,East Rebeccastad,Delayed
SHP4052,2025-05-07,East Nicolefurt,West Sarahton,Delayed
SHP4053,2025-02-25,Rogerchester,Andersonport,Delivered
SHP4054,2024-12-06,West Tyroneton,Port Heidifort,Delayed
SHP4055,2025-02-19,Jonesport,Townsendside,In Transit
SHP4056,2024-12-15,Lake Jennifer,Mcdanielburgh,Delayed
SHP4057,2024-11-19,Jameschester,New Dawnbury,Delivered
SHP4058,2025-01-24,New Shelia,West Dominictown,Delivered
SHP4059,2025-04-16,Lake Gregoryborough,Jamesstad,Delivered
SHP4060,2025-04-17,Williammouth,Stephenland,Delivered
SHP4061,2025-05-10,Lake Stephaniemouth,West Ryanmouth,Delivered
SHP4062,2025-04-28,Reyeston,East Michaelview,In Transit
SHP4063,2025-05-04,New Barbara,South Jasonmouth,Delayed
SHP4064,2024-12-13,East Rebeccatown,Joneston,Delayed
SHP4065,2025-01-05,Jeremyland,Alexandermouth,Delayed
SHP4066,2024-11-30,Huertamouth,Lake Juliatown,Delivered
SHP4067,2025-04-27,Yolandaburgh,Danielmouth,Delayed
SHP4068,2025-05-01,New Rebecca,Yorkburgh,Delayed
SHP4069,2024-11-12,Heatherville,Gardnerland,In Transit
SHP4070,2024-12-14,Debbiehaven,Jeffreystad,Delayed
SHP4071,2024-11-13,Adammouth,North Lance,In Transit
SHP4072,2024-12-03,Simmonshaven,South Andrea,In Transit
SHP4073,2025-04-24,Kaylashire,South James,Delayed
SHP4074,2025-03-25,Maryview,Hufftown,In Transit
SHP4075,2024-11-19,Petersontown,Chadstad,Delivered
SHP4076,2025-02-24,Allenmouth,North Edward,Delayed
SHP4077,2025-02-04,South Tracyshire,Simonchester,Delivered
SHP4078,2025-03-04,Luisburgh,Nunezhaven,Delivered
SHP4079,2025-01-09,Josephchester,West Aaronburgh,In Transit
SHP4080,2025-04-01,Lake Charles,Kennethmouth,In Transit
SHP4081,2025-01-01,Lake Veronicaport,South Aliciaville,In Transit
SHP4082,2025-01-19,East Darinbury,West Victoria,In Transit
SHP4083,2025-01-06,West Bethport,Lake Jackside,In Transit
SHP4084,2024-12-15,West Jocelyn,North Stevenstad,Delayed
SHP4085,2025-01-29,Lake Christopherberg,New Georgeside,In Transit
SHP4086,2024-12-28,New Marissaport,North Debra,Delayed
SHP4087,2025-04-22,North Chaseview,Lake Sean,In Transit
SHP4088,2024-12-10,Butlerchester,Gregoryhaven,In Transit
SHP4089,2025-03-08,Westmouth,Williamport,Delayed
SHP4090,2025-02-01,Josestad,Angelamouth,Delayed
