PO_ID,Vendor_ID,Item_ID,Quantity,Date
PO2000,VND104,ITM1089,72,2025-01-13
PO2001,VND100,ITM1094,245,2025-03-25
PO2002,VND108,ITM1079,154,2024-12-12
PO2003,VND106,ITM1038,133,2025-03-30
PO2004,VND101,ITM1081,288,2024-12-26
PO2005,VND108,ITM1055,202,2024-11-27
PO2006,VND108,ITM1002,127,2025-04-06
PO2007,VND108,ITM1034,206,2025-02-28
PO2008,VND100,ITM1068,193,2024-11-20
PO2009,VND106,ITM1016,216,2025-04-20
PO2010,VND101,ITM1074,258,2024-12-03
PO2011,VND104,ITM1033,187,2025-03-29
PO2012,VND106,ITM1036,248,2025-01-25
PO2013,VND102,ITM1059,239,2025-04-11
PO2014,VND110,ITM1010,107,2025-03-18
PO2015,VND101,ITM1060,220,2024-12-07
PO2016,VND103,ITM1099,233,2025-01-21
PO2017,VND101,ITM1077,263,2024-12-25
PO2018,VND100,ITM1087,54,2025-01-04
PO2019,VND108,ITM1078,164,2025-01-04
PO2020,VND100,ITM1031,265,2025-01-20
PO2021,VND101,ITM1064,58,2025-03-26
PO2022,VND108,ITM1087,139,2024-12-09
PO2023,VND107,ITM1002,55,2024-11-11
PO2024,VND102,ITM1053,164,2025-05-05
PO2025,VND109,ITM1036,52,2024-12-05
PO2026,VND104,ITM1084,102,2025-04-27
PO2027,VND110,ITM1019,288,2025-02-10
PO2028,VND106,ITM1013,257,2024-12-20
PO2029,VND104,ITM1053,264,2024-11-27
PO2030,VND110,ITM1068,111,2024-12-16
PO2031,VND110,ITM1041,85,2025-03-23
PO2032,VND106,ITM1052,259,2025-02-28
PO2033,VND105,ITM1053,291,2025-01-22
PO2034,VND102,ITM1064,294,2025-02-04
PO2035,VND108,ITM1007,174,2024-12-22
PO2036,VND101,ITM1076,93,2024-11-26
PO2037,VND106,ITM1019,95,2025-03-06
PO2038,VND104,ITM1036,86,2025-01-29
PO2039,VND106,ITM1003,198,2025-04-23
PO2040,VND109,ITM1064,218,2024-11-21
PO2041,VND104,ITM1004,237,2025-04-05
PO2042,VND109,ITM1050,296,2025-02-08
PO2043,VND101,ITM1061,200,2024-11-21
PO2044,VND101,ITM1092,204,2025-04-22
PO2045,VND107,ITM1038,164,2025-05-02
PO2046,VND102,ITM1065,208,2025-01-14
PO2047,VND110,ITM1005,117,2024-11-19
PO2048,VND103,ITM1069,76,2025-02-02
PO2049,VND101,ITM1048,130,2025-01-12
PO2050,VND102,ITM1085,181,2025-02-03
PO2051,VND107,ITM1093,158,2025-03-19
PO2052,VND108,ITM1042,257,2025-04-27
PO2053,VND101,ITM1002,114,2025-05-03
PO2054,VND106,ITM1045,258,2025-04-25
PO2055,VND101,ITM1078,289,2025-05-01
PO2056,VND108,ITM1033,238,2024-12-30
PO2057,VND100,ITM1083,107,2025-01-21
PO2058,VND108,ITM1026,101,2025-04-17
PO2059,VND100,ITM1032,154,2025-02-23
PO2060,VND103,ITM1051,70,2025-05-04
PO2061,VND106,ITM1048,92,2025-03-09
PO2062,VND108,ITM1023,198,2025-01-13
PO2063,VND108,ITM1014,146,2024-12-30
PO2064,VND102,ITM1064,137,2024-11-18
PO2065,VND104,ITM1024,231,2024-12-18
PO2066,VND104,ITM1094,56,2025-04-03
PO2067,VND108,ITM1099,160,2025-03-11
PO2068,VND106,ITM1040,256,2025-01-24
PO2069,VND104,ITM1006,275,2025-02-17
PO2070,VND101,ITM1068,135,2025-05-07
PO2071,VND101,ITM1071,135,2024-12-10
PO2072,VND107,ITM1089,113,2024-12-17
PO2073,VND103,ITM1086,297,2025-04-23
PO2074,VND100,ITM1014,185,2025-01-10
PO2075,VND107,ITM1073,75,2024-11-12
PO2076,VND109,ITM1060,234,2025-02-25
PO2077,VND101,ITM1029,245,2024-12-19
PO2078,VND106,ITM1060,211,2025-01-19
PO2079,VND107,ITM1072,102,2025-01-12
PO2080,VND109,ITM1098,171,2024-12-28
PO2081,VND105,ITM1076,170,2025-04-14
PO2082,VND100,ITM1060,285,2025-04-13
PO2083,VND101,ITM1040,154,2024-11-18
PO2084,VND106,ITM1079,103,2025-02-01
PO2085,VND101,ITM1052,75,2025-03-15
PO2086,VND102,ITM1002,72,2024-12-12
PO2087,VND106,ITM1073,210,2025-01-19
PO2088,VND100,ITM1054,153,2025-03-23
PO2089,VND102,ITM1006,207,2025-04-27
PO2090,VND108,ITM1033,128,2025-04-09
PO2091,VND107,ITM1051,276,2025-04-18
PO2092,VND109,ITM1059,166,2025-05-01
PO2093,VND110,ITM1072,279,2025-05-02
PO2094,VND103,ITM1072,96,2025-03-15
PO2095,VND109,ITM1068,164,2025-04-25
PO2096,VND100,ITM1081,188,2025-02-16
PO2097,VND106,ITM1007,274,2025-02-10
PO2098,VND105,ITM1006,72,2025-05-03
PO2099,VND101,ITM1092,234,2025-01-31
PO2100,VND107,ITM1050,164,2025-02-21
PO2101,VND104,ITM1059,53,2025-03-11
PO2102,VND105,ITM1091,273,2025-01-11
PO2103,VND102,ITM1028,91,2025-04-16
PO2104,VND102,ITM1042,102,2024-11-29
PO2105,VND101,ITM1082,203,2024-11-17
PO2106,VND104,ITM1044,156,2025-02-19
PO2107,VND102,ITM1011,53,2024-11-19
PO2108,VND109,ITM1080,199,2025-03-13
PO2109,VND103,ITM1075,66,2024-12-21
PO2110,VND110,ITM1045,294,2025-01-13
PO2111,VND101,ITM1025,147,2025-02-13
PO2112,VND103,ITM1048,137,2025-01-10
PO2113,VND101,ITM1020,244,2025-03-26
PO2114,VND100,ITM1018,273,2025-02-28
PO2115,VND103,ITM1011,224,2024-12-04
PO2116,VND110,ITM1079,270,2025-04-30
PO2117,VND106,ITM1096,230,2025-03-29
PO2118,VND101,ITM1017,66,2025-01-04
PO2119,VND106,ITM1043,159,2025-02-09
PO2120,VND107,ITM1058,218,2025-03-06
PO2121,VND102,ITM1035,264,2025-04-18
PO2122,VND103,ITM1011,117,2025-02-21
PO2123,VND105,ITM1093,261,2024-12-13
PO2124,VND104,ITM1069,145,2024-12-13
PO2125,VND106,ITM1096,265,2024-12-22
PO2126,VND103,ITM1091,101,2024-11-12
PO2127,VND101,ITM1059,227,2025-04-12
PO2128,VND100,ITM1066,232,2024-11-14
PO2129,VND109,ITM1032,244,2025-04-04
PO2130,VND101,ITM1056,233,2025-03-08
PO2131,VND106,ITM1031,134,2024-11-22
PO2132,VND107,ITM1075,241,2025-02-24
PO2133,VND106,ITM1072,75,2025-01-26
PO2134,VND103,ITM1016,189,2025-02-14
PO2135,VND106,ITM1046,289,2024-11-28
PO2136,VND101,ITM1099,137,2025-03-13
PO2137,VND105,ITM1088,161,2025-03-07
PO2138,VND104,ITM1035,123,2025-03-09
PO2139,VND101,ITM1075,144,2024-11-25
PO2140,VND108,ITM1079,266,2025-05-01
PO2141,VND101,ITM1099,257,2024-11-28
PO2142,VND109,ITM1033,299,2024-12-06
PO2143,VND102,ITM1037,155,2024-11-30
PO2144,VND109,ITM1066,115,2025-04-15
PO2145,VND100,ITM1029,92,2025-04-05
PO2146,VND108,ITM1093,69,2025-04-10
PO2147,VND106,ITM1063,79,2025-02-10
PO2148,VND105,ITM1036,267,2025-05-08
PO2149,VND102,ITM1060,84,2025-03-24
