Order_ID,Item_ID,Quantity_Sold,Date
ORD3000,ITM1040,99,2025-01-02
ORD3001,ITM1054,83,2025-03-10
ORD3002,ITM1016,93,2024-12-16
ORD3003,ITM1028,34,2025-02-12
ORD3004,ITM1074,35,2024-12-07
ORD3005,ITM1068,60,2024-12-12
ORD3006,ITM1086,93,2024-11-12
ORD3007,ITM1056,5,2025-03-04
ORD3008,ITM1065,20,2025-04-13
ORD3009,ITM1098,54,2025-03-21
ORD3010,ITM1088,82,2025-04-25
ORD3011,ITM1040,71,2025-03-24
ORD3012,ITM1020,7,2025-05-04
ORD3013,ITM1094,30,2024-12-15
ORD3014,ITM1018,35,2025-04-07
ORD3015,ITM1054,87,2025-01-21
ORD3016,ITM1048,51,2025-03-27
ORD3017,ITM1030,33,2025-04-26
ORD3018,ITM1057,47,2025-02-03
ORD3019,ITM1075,42,2024-12-19
ORD3020,ITM1089,14,2025-01-26
ORD3021,ITM1051,34,2024-12-22
ORD3022,ITM1075,53,2024-12-20
ORD3023,ITM1014,49,2025-02-19
ORD3024,ITM1010,70,2024-12-01
ORD3025,ITM1047,16,2025-01-19
ORD3026,ITM1097,15,2025-02-10
ORD3027,ITM1000,53,2025-02-24
ORD3028,ITM1081,53,2024-12-13
ORD3029,ITM1049,17,2025-02-04
ORD3030,ITM1059,32,2025-02-15
ORD3031,ITM1099,98,2025-04-23
ORD3032,ITM1073,36,2025-02-25
ORD3033,ITM1005,92,2025-04-06
ORD3034,ITM1092,36,2024-12-27
ORD3035,ITM1038,23,2024-12-11
ORD3036,ITM1005,98,2025-05-05
ORD3037,ITM1081,64,2025-03-16
ORD3038,ITM1079,35,2024-12-31
ORD3039,ITM1066,95,2025-01-18
ORD3040,ITM1027,97,2025-04-30
ORD3041,ITM1082,47,2025-03-23
ORD3042,ITM1079,7,2025-01-06
ORD3043,ITM1097,5,2025-03-24
ORD3044,ITM1009,87,2025-03-04
ORD3045,ITM1043,71,2025-03-27
ORD3046,ITM1096,95,2025-03-16
ORD3047,ITM1029,91,2025-02-28
ORD3048,ITM1052,41,2024-12-10
ORD3049,ITM1037,37,2025-03-20
ORD3050,ITM1081,28,2025-03-12
ORD3051,ITM1034,88,2025-01-27
ORD3052,ITM1061,38,2025-03-17
ORD3053,ITM1021,41,2025-01-02
ORD3054,ITM1022,31,2024-12-18
ORD3055,ITM1047,52,2025-02-11
ORD3056,ITM1095,10,2025-03-27
ORD3057,ITM1030,90,2025-02-19
ORD3058,ITM1088,61,2025-04-11
ORD3059,ITM1081,17,2025-05-03
ORD3060,ITM1083,31,2025-05-04
ORD3061,ITM1094,21,2024-12-28
ORD3062,ITM1061,26,2024-12-31
ORD3063,ITM1045,54,2025-04-11
ORD3064,ITM1010,19,2025-05-04
ORD3065,ITM1062,46,2025-02-26
ORD3066,ITM1095,84,2025-01-06
ORD3067,ITM1013,62,2024-11-29
ORD3068,ITM1085,48,2025-03-03
ORD3069,ITM1073,90,2024-11-17
ORD3070,ITM1012,95,2025-02-04
ORD3071,ITM1024,57,2025-04-07
ORD3072,ITM1026,45,2025-04-21
ORD3073,ITM1064,51,2025-03-16
ORD3074,ITM1006,22,2025-04-16
ORD3075,ITM1053,93,2025-04-05
ORD3076,ITM1063,86,2025-01-27
ORD3077,ITM1092,10,2025-04-12
ORD3078,ITM1029,33,2025-04-14
ORD3079,ITM1083,6,2024-12-24
ORD3080,ITM1006,79,2024-11-22
ORD3081,ITM1087,13,2024-12-30
ORD3082,ITM1025,79,2024-12-04
ORD3083,ITM1072,17,2025-02-02
ORD3084,ITM1060,63,2025-05-09
ORD3085,ITM1010,94,2024-12-07
ORD3086,ITM1011,97,2025-03-12
ORD3087,ITM1034,43,2024-12-31
ORD3088,ITM1046,68,2025-03-23
ORD3089,ITM1031,88,2025-04-20
ORD3090,ITM1048,31,2025-02-04
ORD3091,ITM1051,80,2025-02-05
ORD3092,ITM1081,41,2025-01-24
ORD3093,ITM1058,45,2025-02-08
ORD3094,ITM1000,91,2025-05-03
ORD3095,ITM1071,66,2025-01-04
ORD3096,ITM1098,49,2025-02-26
ORD3097,ITM1044,87,2025-04-19
ORD3098,ITM1053,62,2025-05-04
ORD3099,ITM1039,99,2025-04-07
ORD3100,ITM1075,98,2025-03-13
ORD3101,ITM1081,29,2024-11-28
ORD3102,ITM1042,23,2024-12-23
ORD3103,ITM1072,57,2025-01-21
ORD3104,ITM1075,79,2024-11-19
ORD3105,ITM1082,75,2025-05-12
ORD3106,ITM1006,73,2025-04-07
ORD3107,ITM1006,32,2025-05-08
ORD3108,ITM1025,58,2025-01-15
ORD3109,ITM1048,32,2025-05-08
ORD3110,ITM1014,60,2025-04-23
ORD3111,ITM1054,39,2025-03-23
ORD3112,ITM1007,81,2025-03-06
ORD3113,ITM1070,13,2025-03-19
ORD3114,ITM1092,35,2024-12-23
ORD3115,ITM1074,59,2025-02-07
ORD3116,ITM1095,39,2024-12-28
ORD3117,ITM1047,64,2025-04-02
ORD3118,ITM1043,31,2025-01-15
ORD3119,ITM1030,82,2025-02-01
ORD3120,ITM1006,47,2025-02-23
ORD3121,ITM1044,90,2025-02-16
ORD3122,ITM1014,43,2025-03-04
ORD3123,ITM1073,90,2024-11-11
ORD3124,ITM1083,41,2025-01-01
ORD3125,ITM1041,13,2025-04-10
ORD3126,ITM1053,62,2024-12-27
ORD3127,ITM1015,17,2025-01-17
ORD3128,ITM1058,49,2025-02-16
ORD3129,ITM1090,42,2025-01-13
ORD3130,ITM1097,64,2025-04-08
ORD3131,ITM1005,78,2024-12-24
ORD3132,ITM1083,56,2025-01-18
ORD3133,ITM1077,79,2025-03-12
ORD3134,ITM1004,43,2025-04-18
ORD3135,ITM1089,49,2024-12-17
ORD3136,ITM1008,96,2024-12-13
ORD3137,ITM1080,67,2025-02-08
ORD3138,ITM1091,5,2025-03-06
ORD3139,ITM1085,39,2025-04-15
ORD3140,ITM1081,68,2025-01-15
ORD3141,ITM1056,62,2025-01-07
ORD3142,ITM1082,15,2025-01-27
ORD3143,ITM1082,35,2025-03-13
ORD3144,ITM1097,14,2025-02-02
ORD3145,ITM1010,15,2024-12-14
ORD3146,ITM1081,37,2025-03-06
ORD3147,ITM1012,15,2025-01-09
ORD3148,ITM1096,14,2024-11-24
ORD3149,ITM1073,22,2025-02-23
ORD3150,ITM1013,52,2025-04-30
ORD3151,ITM1080,88,2024-12-27
ORD3152,ITM1077,44,2024-12-24
ORD3153,ITM1073,13,2025-04-16
ORD3154,ITM1071,21,2025-01-09
ORD3155,ITM1096,35,2025-04-08
ORD3156,ITM1061,68,2024-11-28
ORD3157,ITM1081,96,2025-04-27
ORD3158,ITM1072,32,2025-01-05
ORD3159,ITM1041,99,2025-01-17
ORD3160,ITM1020,34,2025-03-20
ORD3161,ITM1083,55,2025-02-01
ORD3162,ITM1083,23,2024-12-07
ORD3163,ITM1087,93,2025-03-21
ORD3164,ITM1010,28,2025-05-08
ORD3165,ITM1003,58,2025-02-20
ORD3166,ITM1016,69,2025-01-30
ORD3167,ITM1091,69,2025-04-30
ORD3168,ITM1023,57,2025-03-23
ORD3169,ITM1056,13,2025-02-11
ORD3170,ITM1052,41,2025-03-31
ORD3171,ITM1064,43,2025-03-15
ORD3172,ITM1009,92,2025-02-26
ORD3173,ITM1046,53,2025-03-21
ORD3174,ITM1042,81,2025-02-17
ORD3175,ITM1087,28,2025-02-10
ORD3176,ITM1018,40,2025-02-26
ORD3177,ITM1014,28,2024-12-10
ORD3178,ITM1053,80,2025-05-12
ORD3179,ITM1093,90,2024-11-21
ORD3180,ITM1051,59,2024-11-25
ORD3181,ITM1076,32,2025-02-14
ORD3182,ITM1067,10,2025-02-14
ORD3183,ITM1092,65,2025-02-08
ORD3184,ITM1039,70,2025-03-29
ORD3185,ITM1017,42,2025-03-15
ORD3186,ITM1030,80,2025-02-22
ORD3187,ITM1055,12,2024-12-29
ORD3188,ITM1033,24,2024-11-18
ORD3189,ITM1004,52,2025-03-31
ORD3190,ITM1062,80,2025-05-01
ORD3191,ITM1063,16,2025-04-25
ORD3192,ITM1091,52,2025-01-10
ORD3193,ITM1088,90,2025-04-09
ORD3194,ITM1080,15,2025-01-27
ORD3195,ITM1023,73,2025-04-30
ORD3196,ITM1063,52,2025-04-10
ORD3197,ITM1027,22,2025-01-07
ORD3198,ITM1051,41,2025-03-30
ORD3199,ITM1083,97,2025-04-29
